#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
999539893 ; 7.6824 ; 3.29803 ; 0 ; 0
999540053 ; 7.70918 ; 3.29803 ; 0 ; 0
999540213 ; 7.6897 ; 3.29803 ; 0 ; 0
999540373 ; 7.69214 ; 3.29803 ; 0 ; 0
999540533 ; 7.69701 ; 3.29803 ; 0 ; 0
999540693 ; 7.70309 ; 3.29803 ; 0 ; 0
999540853 ; 7.68727 ; 3.29803 ; 0 ; 0
999541013 ; 7.68362 ; 3.29803 ; 0 ; 0
999541173 ; 7.70431 ; 3.29803 ; 0 ; 0
999541333 ; 7.67631 ; 3.29803 ; 0 ; 0
999541493 ; 7.69579 ; 3.29803 ; 0 ; 0
999541653 ; 7.6897 ; 3.29803 ; 0 ; 0
999541813 ; 7.68362 ; 3.29803 ; 0 ; 0
999541973 ; 7.71405 ; 3.29803 ; 0 ; 0
999542133 ; 7.67875 ; 3.29803 ; 0 ; 0
999542293 ; 7.6897 ; 3.29803 ; 0 ; 0
999542453 ; 7.69336 ; 3.29803 ; 0 ; 0
999542613 ; 7.68849 ; 3.29803 ; 0 ; 0
999542773 ; 7.68849 ; 3.29803 ; 0 ; 0
999542933 ; 7.67753 ; 3.29803 ; 0 ; 0
999543093 ; 7.69336 ; 3.29803 ; 0 ; 0
999543253 ; 7.69092 ; 3.29803 ; 0 ; 0
999543413 ; 7.69701 ; 3.29803 ; 0 ; 0
999543573 ; 7.69457 ; 3.29803 ; 0 ; 0
999543733 ; 7.67266 ; 3.29803 ; 0 ; 0
999543893 ; 7.71162 ; 3.29803 ; 0 ; 0
999544053 ; 7.68118 ; 3.29803 ; 0 ; 0
999544213 ; 7.67753 ; 3.29803 ; 0 ; 0
999544373 ; 7.67144 ; 3.29803 ; 0 ; 0
999544533 ; 7.7104 ; 3.29803 ; 0 ; 0
999544693 ; 7.70188 ; 3.29803 ; 0 ; 0
999544853 ; 7.68727 ; 3.29803 ; 0 ; 0
999545013 ; 7.68483 ; 3.29803 ; 0 ; 0
999545173 ; 7.69336 ; 3.29803 ; 0 ; 0
999545333 ; 7.68727 ; 3.29803 ; 0 ; 0
999545493 ; 7.67875 ; 3.29803 ; 0 ; 0
999545653 ; 7.69822 ; 3.29803 ; 0 ; 0
999545813 ; 7.70066 ; 3.29803 ; 0 ; 0
999545973 ; 7.68849 ; 3.29803 ; 0 ; 0
999546133 ; 7.69579 ; 3.29803 ; 0 ; 0
999546293 ; 7.70553 ; 3.29803 ; 0 ; 0
999546453 ; 7.67266 ; 3.29803 ; 0 ; 0
999546613 ; 7.6824 ; 3.29803 ; 0 ; 0
999546773 ; 7.68483 ; 3.29803 ; 0 ; 0
999546933 ; 7.70431 ; 3.29803 ; 0 ; 0
999547093 ; 7.68849 ; 3.29803 ; 0 ; 0
999547253 ; 7.69822 ; 3.29803 ; 0 ; 0
999547413 ; 7.6897 ; 3.29803 ; 0 ; 0
999547573 ; 7.69092 ; 3.29803 ; 0 ; 0
999547733 ; 7.68362 ; 3.29803 ; 0 ; 0
999547893 ; 7.6824 ; 3.29803 ; 0 ; 0
999548053 ; 7.69944 ; 3.29803 ; 0 ; 0
999548213 ; 7.70796 ; 3.29803 ; 0 ; 0
999548373 ; 7.68483 ; 3.29803 ; 0 ; 0
999548533 ; 7.69457 ; 3.29803 ; 0 ; 0
999548693 ; 7.70553 ; 3.29803 ; 0 ; 0
999548853 ; 7.67509 ; 3.29803 ; 0 ; 0
999549013 ; 7.68605 ; 3.29803 ; 0 ; 0
999549173 ; 7.68849 ; 3.29803 ; 0 ; 0
999549333 ; 7.70796 ; 3.29803 ; 0 ; 0
999549493 ; 7.69336 ; 3.29803 ; 0 ; 0
999549653 ; 7.67266 ; 3.29803 ; 0 ; 0
999549813 ; 7.70796 ; 3.29803 ; 0 ; 0
999549973 ; 7.68483 ; 3.29803 ; 0 ; 0
999550133 ; 7.69336 ; 3.29803 ; 0 ; 0
999550293 ; 7.68727 ; 3.29803 ; 0 ; 0
999550453 ; 7.69944 ; 3.29803 ; 0 ; 0
999550613 ; 7.6897 ; 3.29803 ; 0 ; 0
999550773 ; 7.69214 ; 3.29803 ; 0 ; 0
999550933 ; 7.68727 ; 3.29803 ; 0 ; 0
999551093 ; 7.69214 ; 3.29803 ; 0 ; 0
999551253 ; 7.69336 ; 3.29803 ; 0 ; 0
999551413 ; 7.67996 ; 3.29803 ; 0 ; 0
999551573 ; 7.69457 ; 3.29803 ; 0 ; 0
999551733 ; 7.69457 ; 3.29803 ; 0 ; 0
999551893 ; 7.70066 ; 3.29803 ; 0 ; 0
999552053 ; 7.69701 ; 3.29803 ; 0 ; 0
999552213 ; 7.68483 ; 3.29803 ; 0 ; 0
999552373 ; 7.68727 ; 3.29803 ; 0 ; 0
999552533 ; 7.69579 ; 3.29803 ; 0 ; 0
999552693 ; 7.69944 ; 3.29803 ; 0 ; 0
999552853 ; 7.68483 ; 3.29803 ; 0 ; 0
999553013 ; 7.69701 ; 3.29803 ; 0 ; 0
999553173 ; 7.68727 ; 3.29803 ; 0 ; 0
999553333 ; 7.69214 ; 3.29803 ; 0 ; 0
999553493 ; 7.68118 ; 3.29803 ; 0 ; 0
999553653 ; 7.68483 ; 3.29803 ; 0 ; 0
999553813 ; 7.70188 ; 3.29803 ; 0 ; 0
999553973 ; 7.68362 ; 3.29803 ; 0 ; 0
999554133 ; 7.69457 ; 3.29803 ; 0 ; 0
999554293 ; 7.69579 ; 3.29803 ; 0 ; 0
999554453 ; 7.69336 ; 3.29803 ; 0 ; 0
999554613 ; 7.68727 ; 3.29803 ; 0 ; 0
999554773 ; 7.68362 ; 3.29803 ; 0 ; 0
999554933 ; 7.68849 ; 3.29803 ; 0 ; 0
999555093 ; 7.68849 ; 3.29803 ; 0 ; 0
999555253 ; 7.69336 ; 3.29803 ; 0 ; 0
999555413 ; 7.69701 ; 3.29803 ; 0 ; 0
999555573 ; 7.6897 ; 3.29803 ; 0 ; 0
999555733 ; 7.68362 ; 3.29803 ; 0 ; 0
999555893 ; 7.69579 ; 3.29803 ; 0 ; 0
999556053 ; 7.67631 ; 3.29803 ; 0 ; 0
999556213 ; 7.70918 ; 3.29803 ; 0 ; 0
999556373 ; 7.68605 ; 3.29803 ; 0 ; 0
999556533 ; 7.68483 ; 3.29803 ; 0 ; 0
999556693 ; 7.69944 ; 3.29803 ; 0 ; 0
999556853 ; 7.68118 ; 3.29803 ; 0 ; 0
999557013 ; 7.68849 ; 3.29803 ; 0 ; 0
999557173 ; 7.68483 ; 3.29803 ; 0 ; 0
999557333 ; 7.70188 ; 3.29803 ; 0 ; 0
999557493 ; 7.70553 ; 3.29803 ; 0 ; 0
999557653 ; 7.68118 ; 3.29803 ; 0 ; 0
999557813 ; 7.70796 ; 3.29803 ; 0 ; 0
999557973 ; 7.68605 ; 3.29803 ; 0 ; 0
999558133 ; 7.67996 ; 3.29803 ; 0 ; 0
999558293 ; 7.69092 ; 3.29803 ; 0 ; 0
999558453 ; 7.69092 ; 3.29803 ; 0 ; 0
999558613 ; 7.70066 ; 3.29803 ; 0 ; 0
999558773 ; 7.69457 ; 3.29803 ; 0 ; 0
999558933 ; 7.70431 ; 3.29803 ; 0 ; 0
999559093 ; 7.67144 ; 3.29803 ; 0 ; 0
999559253 ; 7.70553 ; 3.29803 ; 0 ; 0
999559413 ; 7.68483 ; 3.29803 ; 0 ; 0
999559573 ; 7.71283 ; 3.29803 ; 0 ; 0
999559733 ; 7.67631 ; 3.29803 ; 0 ; 0
999559893 ; 7.69092 ; 3.29803 ; 0 ; 0
999560053 ; 7.68727 ; 3.29803 ; 0 ; 0
999560213 ; 7.68605 ; 3.29803 ; 0 ; 0
999560373 ; 7.69579 ; 3.29803 ; 0 ; 0
999560533 ; 7.67753 ; 3.29803 ; 0 ; 0
999560693 ; 7.69336 ; 3.29803 ; 0 ; 0
999560853 ; 7.69944 ; 3.29803 ; 0 ; 0
999561013 ; 7.68483 ; 3.29803 ; 0 ; 0
999561173 ; 7.69457 ; 3.29803 ; 0 ; 0
999561333 ; 7.67996 ; 3.29803 ; 0 ; 0
999561493 ; 7.69214 ; 3.29803 ; 0 ; 0
999561653 ; 7.69701 ; 3.29803 ; 0 ; 0
999561813 ; 7.72501 ; 3.29803 ; 0 ; 0
999561973 ; 7.67875 ; 3.29803 ; 0 ; 0
999562133 ; 7.66901 ; 3.29803 ; 0 ; 0
999562293 ; 7.6824 ; 3.29803 ; 0 ; 0
999562453 ; 7.68483 ; 3.29803 ; 0 ; 0
999562613 ; 7.69822 ; 3.29803 ; 0 ; 0
999562773 ; 7.70309 ; 3.29803 ; 0 ; 0
999562933 ; 7.69092 ; 3.29803 ; 0 ; 0
999563093 ; 7.67753 ; 3.29803 ; 0 ; 0
999563253 ; 7.69214 ; 3.29803 ; 0 ; 0
999563413 ; 7.69701 ; 3.29803 ; 0 ; 0
999563573 ; 7.68118 ; 3.29803 ; 0 ; 0
999563733 ; 7.69701 ; 3.29803 ; 0 ; 0
999563893 ; 7.68118 ; 3.29803 ; 0 ; 0
