#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
943711413 ; 7.4596 ; 3.3007 ; 0 ; 0
943711573 ; 7.45595 ; 3.3007 ; 0 ; 0
943711733 ; 7.46569 ; 3.3007 ; 0 ; 0
943711893 ; 7.46813 ; 3.3007 ; 0 ; 0
943712053 ; 7.45108 ; 3.3007 ; 0 ; 0
943712213 ; 7.46691 ; 3.3007 ; 0 ; 0
943712373 ; 7.47421 ; 3.3007 ; 0 ; 0
943712533 ; 7.44134 ; 3.3007 ; 0 ; 0
943712693 ; 7.46447 ; 3.3007 ; 0 ; 0
943712853 ; 7.47056 ; 3.3007 ; 0 ; 0
943713013 ; 7.46326 ; 3.3007 ; 0 ; 0
943713173 ; 7.48273 ; 3.3007 ; 0 ; 0
943713333 ; 7.44256 ; 3.3007 ; 0 ; 0
943713493 ; 7.47543 ; 3.3007 ; 0 ; 0
943713653 ; 7.46934 ; 3.3007 ; 0 ; 0
943713813 ; 7.43891 ; 3.3007 ; 0 ; 0
943713973 ; 7.47787 ; 3.3007 ; 0 ; 0
943714133 ; 7.45595 ; 3.3007 ; 0 ; 0
943714293 ; 7.46934 ; 3.3007 ; 0 ; 0
943714453 ; 7.47056 ; 3.3007 ; 0 ; 0
943714613 ; 7.45473 ; 3.3007 ; 0 ; 0
943714773 ; 13.4982 ; 3.3007 ; 0 ; 0
943714933 ; 29.1876 ; 3.3007 ; 0 ; 0
943715093 ; 28.8856 ; 3.3007 ; 0 ; 0
943715253 ; 29.1401 ; 3.3007 ; 0 ; 0
943715413 ; 29.2107 ; 3.3007 ; 0 ; 0
943715573 ; 29.722 ; 3.3007 ; 0 ; 0
943715733 ; 29.5917 ; 3.3007 ; 0 ; 0
943715893 ; 28.647 ; 3.3007 ; 0 ; 0
943716053 ; 29.7001 ; 3.3007 ; 0 ; 0
943716213 ; 29.2703 ; 3.3007 ; 0 ; 0
943716373 ; 29.1583 ; 3.3007 ; 0 ; 0
943716533 ; 29.6538 ; 3.3007 ; 0 ; 0
943716693 ; 29.7403 ; 3.3007 ; 0 ; 0
943716853 ; 29.5321 ; 3.3007 ; 0 ; 0
943717013 ; 29.1291 ; 3.3007 ; 0 ; 0
943717173 ; 30.4829 ; 3.3007 ; 0 ; 0
943717333 ; 31.021 ; 3.3007 ; 0 ; 0
943717493 ; 28.6543 ; 3.3007 ; 0 ; 0
943717653 ; 30.1067 ; 3.3007 ; 0 ; 0
943717813 ; 33.6763 ; 3.3007 ; 0 ; 0
943717973 ; 30.6254 ; 3.3007 ; 0 ; 0
943718133 ; 32.7864 ; 3.3007 ; 0 ; 0
943718293 ; 31.6042 ; 3.3007 ; 0 ; 0
943718453 ; 31.3765 ; 3.3007 ; 0 ; 0
943718613 ; 31.7454 ; 3.3007 ; 0 ; 0
943718773 ; 30.6802 ; 3.3007 ; 0 ; 0
943718933 ; 30.8019 ; 3.3007 ; 0 ; 0
943719093 ; 28.9489 ; 3.3007 ; 0 ; 0
943719253 ; 28.4875 ; 3.3007 ; 0 ; 0
943719413 ; 28.3779 ; 3.3007 ; 0 ; 0
943719573 ; 10.0053 ; 3.3007 ; 0 ; 0
943719733 ; 7.50708 ; 3.3007 ; 0 ; 0
943719893 ; 7.48639 ; 3.3007 ; 0 ; 0
943720053 ; 7.44012 ; 3.3007 ; 0 ; 0
943720213 ; 7.4876 ; 3.3007 ; 0 ; 0
943720373 ; 7.4523 ; 3.3007 ; 0 ; 0
943720533 ; 7.46934 ; 3.3007 ; 0 ; 0
943720693 ; 7.47056 ; 3.3007 ; 0 ; 0
943720853 ; 7.45108 ; 3.3007 ; 0 ; 0
943721013 ; 7.47056 ; 3.3007 ; 0 ; 0
943721173 ; 7.47543 ; 3.3007 ; 0 ; 0
943721333 ; 7.44743 ; 3.3007 ; 0 ; 0
943721493 ; 7.47665 ; 3.3007 ; 0 ; 0
943721653 ; 7.44134 ; 3.3007 ; 0 ; 0
943721813 ; 7.46326 ; 3.3007 ; 0 ; 0
943721973 ; 7.48152 ; 3.3007 ; 0 ; 0
943722133 ; 7.45108 ; 3.3007 ; 0 ; 0
943722293 ; 7.46082 ; 3.3007 ; 0 ; 0
943722453 ; 7.46813 ; 3.3007 ; 0 ; 0
943722613 ; 7.4523 ; 3.3007 ; 0 ; 0
943722773 ; 7.45352 ; 3.3007 ; 0 ; 0
943722933 ; 7.45473 ; 3.3007 ; 0 ; 0
943723093 ; 7.46569 ; 3.3007 ; 0 ; 0
943723253 ; 7.47665 ; 3.3007 ; 0 ; 0
943723413 ; 7.4316 ; 3.3007 ; 0 ; 0
943723573 ; 7.46447 ; 3.3007 ; 0 ; 0
943723733 ; 7.46082 ; 3.3007 ; 0 ; 0
943723893 ; 7.45839 ; 3.3007 ; 0 ; 0
943724053 ; 7.4803 ; 3.3007 ; 0 ; 0
943724213 ; 7.44621 ; 3.3007 ; 0 ; 0
943724373 ; 7.47421 ; 3.3007 ; 0 ; 0
943724533 ; 7.45352 ; 3.3007 ; 0 ; 0
943724693 ; 7.45595 ; 3.3007 ; 0 ; 0
943724853 ; 7.47056 ; 3.3007 ; 0 ; 0
943725013 ; 7.44743 ; 3.3007 ; 0 ; 0
943725173 ; 7.46569 ; 3.3007 ; 0 ; 0
943725333 ; 7.47908 ; 3.3007 ; 0 ; 0
