#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
5024636693 ; 7.46934 ; 3.30132 ; 0 ; 0
5024636853 ; 7.46326 ; 3.30132 ; 0 ; 0
5024637013 ; 7.45108 ; 3.30132 ; 0 ; 0
5024637173 ; 7.46569 ; 3.30132 ; 0 ; 0
5024637333 ; 7.46813 ; 3.30132 ; 0 ; 0
5024637493 ; 7.4596 ; 3.30132 ; 0 ; 0
5024637653 ; 7.44865 ; 3.30132 ; 0 ; 0
5024637813 ; 7.47178 ; 3.30132 ; 0 ; 0
5024637973 ; 7.46447 ; 3.30132 ; 0 ; 0
5024638133 ; 7.46204 ; 3.30132 ; 0 ; 0
5024638293 ; 7.4523 ; 3.30132 ; 0 ; 0
5024638453 ; 7.46326 ; 3.30132 ; 0 ; 0
5024638613 ; 7.46447 ; 3.30132 ; 0 ; 0
5024638773 ; 7.46204 ; 3.30132 ; 0 ; 0
5024638933 ; 7.45595 ; 3.30132 ; 0 ; 0
5024639093 ; 7.46569 ; 3.30132 ; 0 ; 0
5024639253 ; 7.46082 ; 3.30132 ; 0 ; 0
5024639413 ; 7.46082 ; 3.30132 ; 0 ; 0
5024639573 ; 7.46447 ; 3.30132 ; 0 ; 0
5024639733 ; 7.45839 ; 3.30132 ; 0 ; 0
5024639893 ; 7.46204 ; 3.30132 ; 0 ; 0
5024640053 ; 7.46569 ; 3.30132 ; 0 ; 0
5024640213 ; 7.46569 ; 3.30132 ; 0 ; 0
5024640373 ; 7.4316 ; 3.30132 ; 0 ; 0
5024640533 ; 7.47908 ; 3.30132 ; 0 ; 0
5024640693 ; 7.46934 ; 3.30132 ; 0 ; 0
5024640853 ; 7.45717 ; 3.30132 ; 0 ; 0
5024641013 ; 7.4523 ; 3.30132 ; 0 ; 0
5024641173 ; 7.4596 ; 3.30132 ; 0 ; 0
5024641333 ; 7.46934 ; 3.30132 ; 0 ; 0
5024641493 ; 7.4596 ; 3.30132 ; 0 ; 0
5024641653 ; 7.44012 ; 3.30132 ; 0 ; 0
5024641813 ; 7.48395 ; 3.30132 ; 0 ; 0
5024641973 ; 7.45473 ; 3.30132 ; 0 ; 0
5024642133 ; 7.46082 ; 3.30132 ; 0 ; 0
5024642293 ; 7.46813 ; 3.30132 ; 0 ; 0
5024642453 ; 7.45717 ; 3.30132 ; 0 ; 0
5024642613 ; 7.44986 ; 3.30132 ; 0 ; 0
5024642773 ; 7.48152 ; 3.30132 ; 0 ; 0
5024642933 ; 7.44743 ; 3.30132 ; 0 ; 0
5024643093 ; 7.47543 ; 3.30132 ; 0 ; 0
5024643253 ; 7.473 ; 3.30132 ; 0 ; 0
5024643413 ; 7.45839 ; 3.30132 ; 0 ; 0
5024643573 ; 7.45352 ; 3.30132 ; 0 ; 0
5024643733 ; 7.44134 ; 3.30132 ; 0 ; 0
5024643893 ; 7.4596 ; 3.30132 ; 0 ; 0
5024644053 ; 7.47543 ; 3.30132 ; 0 ; 0
5024644213 ; 7.45595 ; 3.30132 ; 0 ; 0
5024644373 ; 7.46082 ; 3.30132 ; 0 ; 0
5024644533 ; 7.46813 ; 3.30132 ; 0 ; 0
5024644693 ; 7.46813 ; 3.30132 ; 0 ; 0
5024644853 ; 7.473 ; 3.30132 ; 0 ; 0
5024645013 ; 7.43891 ; 3.30132 ; 0 ; 0
5024645173 ; 7.47543 ; 3.30132 ; 0 ; 0
5024645333 ; 7.46204 ; 3.30132 ; 0 ; 0
5024645493 ; 7.47178 ; 3.30132 ; 0 ; 0
5024645653 ; 7.44743 ; 3.30132 ; 0 ; 0
5024645813 ; 7.47665 ; 3.30132 ; 0 ; 0
5024645973 ; 7.46569 ; 3.30132 ; 0 ; 0
5024646133 ; 7.45717 ; 3.30132 ; 0 ; 0
5024646293 ; 7.45839 ; 3.30132 ; 0 ; 0
5024646453 ; 7.46082 ; 3.30132 ; 0 ; 0
5024646613 ; 7.47178 ; 3.30132 ; 0 ; 0
5024646773 ; 7.4596 ; 3.30132 ; 0 ; 0
5024646933 ; 7.4596 ; 3.30132 ; 0 ; 0
5024647093 ; 7.46082 ; 3.30132 ; 0 ; 0
5024647253 ; 7.47543 ; 3.30132 ; 0 ; 0
5024647413 ; 7.4596 ; 3.30132 ; 0 ; 0
5024647573 ; 7.45352 ; 3.30132 ; 0 ; 0
5024647733 ; 7.47908 ; 3.30132 ; 0 ; 0
5024647893 ; 7.44743 ; 3.30132 ; 0 ; 0
5024648053 ; 7.48152 ; 3.30132 ; 0 ; 0
5024648213 ; 7.44621 ; 3.30132 ; 0 ; 0
5024648373 ; 7.46326 ; 3.30132 ; 0 ; 0
5024648533 ; 7.46082 ; 3.30132 ; 0 ; 0
5024648693 ; 7.47056 ; 3.30132 ; 0 ; 0
5024648853 ; 7.45108 ; 3.30132 ; 0 ; 0
5024649013 ; 7.48152 ; 3.30132 ; 0 ; 0
5024649173 ; 7.46447 ; 3.30132 ; 0 ; 0
5024649333 ; 7.46082 ; 3.30132 ; 0 ; 0
5024649493 ; 7.44743 ; 3.30132 ; 0 ; 0
5024649653 ; 7.46813 ; 3.30132 ; 0 ; 0
5024649813 ; 7.46447 ; 3.30132 ; 0 ; 0
5024649973 ; 7.4596 ; 3.30132 ; 0 ; 0
5024650133 ; 7.45595 ; 3.30132 ; 0 ; 0
5024650293 ; 7.46934 ; 3.30132 ; 0 ; 0
5024650453 ; 7.47787 ; 3.30132 ; 0 ; 0
5024650613 ; 7.4596 ; 3.30132 ; 0 ; 0
5024650773 ; 7.45108 ; 3.30132 ; 0 ; 0
5024650933 ; 7.46082 ; 3.30132 ; 0 ; 0
5024651093 ; 7.47056 ; 3.30132 ; 0 ; 0
5024651253 ; 7.473 ; 3.30132 ; 0 ; 0
5024651413 ; 7.44378 ; 3.30132 ; 0 ; 0
5024651573 ; 7.4596 ; 3.30132 ; 0 ; 0
5024651733 ; 7.45473 ; 3.30132 ; 0 ; 0
5024651893 ; 7.46569 ; 3.30132 ; 0 ; 0
5024652053 ; 7.45839 ; 3.30132 ; 0 ; 0
5024652213 ; 7.45108 ; 3.30132 ; 0 ; 0
5024652373 ; 7.46813 ; 3.30132 ; 0 ; 0
5024652533 ; 7.46691 ; 3.30132 ; 0 ; 0
5024652693 ; 7.44743 ; 3.30132 ; 0 ; 0
5024652853 ; 7.46082 ; 3.30132 ; 0 ; 0
5024653013 ; 7.46813 ; 3.30132 ; 0 ; 0
5024653173 ; 7.47178 ; 3.30132 ; 0 ; 0
5024653333 ; 7.44743 ; 3.30132 ; 0 ; 0
5024653493 ; 7.44986 ; 3.30132 ; 0 ; 0
5024653653 ; 7.45595 ; 3.30132 ; 0 ; 0
5024653813 ; 7.48395 ; 3.30132 ; 0 ; 0
5024653973 ; 7.45717 ; 3.30132 ; 0 ; 0
5024654133 ; 7.46204 ; 3.30132 ; 0 ; 0
5024654293 ; 7.47787 ; 3.30132 ; 0 ; 0
