#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
2068226773 ; 7.46934 ; 3.29849 ; 0 ; 0
2068226933 ; 7.48639 ; 3.29849 ; 0 ; 0
2068227093 ; 7.44256 ; 3.29849 ; 0 ; 0
2068227253 ; 7.46204 ; 3.29849 ; 0 ; 0
2068227413 ; 7.45839 ; 3.29849 ; 0 ; 0
2068227573 ; 7.46204 ; 3.29849 ; 0 ; 0
2068227733 ; 7.4523 ; 3.29849 ; 0 ; 0
2068227893 ; 7.4803 ; 3.29849 ; 0 ; 0
2068228053 ; 7.46082 ; 3.29849 ; 0 ; 0
2068228213 ; 7.46691 ; 3.29849 ; 0 ; 0
2068228373 ; 7.46082 ; 3.29849 ; 0 ; 0
2068228533 ; 7.44743 ; 3.29849 ; 0 ; 0
2068228693 ; 7.45595 ; 3.29849 ; 0 ; 0
2068228853 ; 7.46326 ; 3.29849 ; 0 ; 0
2068229013 ; 7.46569 ; 3.29849 ; 0 ; 0
2068229173 ; 7.46813 ; 3.29849 ; 0 ; 0
2068229333 ; 7.48152 ; 3.29849 ; 0 ; 0
2068229493 ; 7.44865 ; 3.29849 ; 0 ; 0
2068229653 ; 7.44743 ; 3.29849 ; 0 ; 0
2068229813 ; 7.46569 ; 3.29849 ; 0 ; 0
2068229973 ; 7.45108 ; 3.29849 ; 0 ; 0
2068230133 ; 7.46082 ; 3.29849 ; 0 ; 0
2068230293 ; 7.4523 ; 3.29849 ; 0 ; 0
2068230453 ; 7.48395 ; 3.29849 ; 0 ; 0
2068230613 ; 7.44865 ; 3.29849 ; 0 ; 0
2068230773 ; 7.4596 ; 3.29849 ; 0 ; 0
2068230933 ; 7.45473 ; 3.29849 ; 0 ; 0
2068231093 ; 10.1368 ; 3.29849 ; 0 ; 0
2068231253 ; 28.2745 ; 3.29849 ; 0 ; 0
2068231413 ; 28.5679 ; 3.29849 ; 0 ; 0
2068231573 ; 29.4383 ; 3.29849 ; 0 ; 0
2068231733 ; 29.7074 ; 3.29849 ; 0 ; 0
2068231893 ; 29.5004 ; 3.29849 ; 0 ; 0
2068232053 ; 28.8515 ; 3.29849 ; 0 ; 0
2068232213 ; 29.4505 ; 3.29849 ; 0 ; 0
2068232373 ; 28.7432 ; 3.29849 ; 0 ; 0
2068232533 ; 29.0463 ; 3.29849 ; 0 ; 0
2068232693 ; 29.0524 ; 3.29849 ; 0 ; 0
2068232853 ; 30.36 ; 3.29849 ; 0 ; 0
2068233013 ; 30.7824 ; 3.29849 ; 0 ; 0
2068233173 ; 29.0293 ; 3.29849 ; 0 ; 0
2068233333 ; 29.3312 ; 3.29849 ; 0 ; 0
2068233493 ; 34.1036 ; 3.29849 ; 0 ; 0
